"","Occupation","occupation_category","All_workers","All_weekly","M_workers","M_weekly","F_workers","F_weekly"
"521","Other transportation workers","TRANSPORTATION",39,NA,35,NA,4,NA
"522","Conveyor operators and tenders","TRANSPORTATION",7,NA,7,NA,0,NA
"523","Crane and tower operators","TRANSPORTATION",75,988,71,1016,4,NA
"524","Dredge, excavating, and loading machine operators","TRANSPORTATION",25,NA,25,NA,0,NA
"525","Hoist and winch operators","TRANSPORTATION",5,NA,5,NA,0,NA
"526","Industrial truck and tractor operators","TRANSPORTATION",579,609,541,612,37,NA
"527","Cleaners of vehicles and equipment","TRANSPORTATION",222,485,200,498,22,NA
"528","Laborers and freight, stock, and material movers, hand","TRANSPORTATION",1433,526,1214,547,219,455
"529","Machine feeders and offbearers","TRANSPORTATION",30,NA,21,NA,9,NA
"530","Packers and packagers, hand","TRANSPORTATION",385,438,158,462,227,424
"531","Pumping station operators","TRANSPORTATION",18,NA,17,NA,1,NA
"532","Refuse and recyclable material collectors","TRANSPORTATION",72,501,66,496,6,NA
"533","Mine shuttle car operators","TRANSPORTATION",0,NA,0,NA,0,NA
"534","Tank car, truck, and ship loaders","TRANSPORTATION",6,NA,6,NA,0,NA
"535","Material moving workers, all other","TRANSPORTATION",37,NA,32,NA,5,NA
