county_name,county_pop2000,statename,stateabbrv,racial_segregation,inequality,poverty_rate,top_1per_income_share,frac_middleclass,unemp_rate,pop_change_80_2000,migration_inflow,migration_outflow,mean_household_income,median_house_value,percent_college_degree,crime_rate
Marshall,39311,Iowa,IA,0.1438129,0.319363,0.1024269,0.0887,0.61337,0.0315579,-0.0562038,0.015644476,0.023123299,34649.58,94909.6,17,0.0102007
Mills,14547,Iowa,IA,0.0140146,0.5039596,0.082509,0.37904,0.65881,0.0280998,0.0851111,0.040558191,0.028665704,34942.66,123835.7,16.3,0.0034371
Mitchell,10874,Iowa,IA,0.0141435,0.2835855,0.1070557,0.08145,0.70098,0.0289068,-0.1180144,0.010483723,0.015449697,36379.89,88644.5,12.8,0.0022991
Monona,10020,Iowa,IA,0.0163268,0.3339313,0.0940921,0.07787,0.6619,0.0360343,-0.1430038,0.011576846,0.016167665,36290.29,72515.2,13.4,0.003992
Monroe,8016,Iowa,IA,0.0159237,0.3035283,0.0902698,0.05317,0.62976,0.0430163,-0.1295472,0.014346307,0.028567864,35026,69849.2,12.6,0.0051148
Montgomery,11771,Iowa,IA,0.0631431,0.3069792,0.0906952,0.05408,0.64348,0.0460183,-0.1224186,0.020813865,0.015206864,33452.06,74514.7,12.9,0.0030584
Muscatine,41722,Iowa,IA,0.0952542,0.3136567,0.0887239,0.07933,0.63756,0.0349885,0.0318033,0.019342313,0.019725804,36607.14,112905.1,17.2,0.0101865
O Brien,15102,Iowa,IA,0.028408,0.2722562,0.0726496,0.06138,0.73118,0.0256539,-0.1101815,0.017282479,0.01708383,34451.38,77713.9,14.7,0.0036179
Osceola,7003,Iowa,IA,0.0068589,0.2434416,0.0702726,0.04984,0.72313,0.0306781,-0.1634213,0.004283878,0.019848636,34059.71,71182.2,13.4,0.0022847
Page,16976,Iowa,IA,0.1018467,0.3146364,0.1248571,0.09536,0.66341,0.0496518,-0.1094791,0.015963714,0.014137606,32472.92,79980,16.6,0.0021206
Palo Alto,10147,Iowa,IA,0.0037657,0.3267683,0.1055482,0.09317,0.73932,0.0367195,-0.2023426,0.014289938,0.012811669,35936.84,71315.5,13.9,0.0042377
Plymouth,24849,Iowa,IA,0.044214,0.2759803,0.0599361,0.07697,0.68708,0.0285202,0.004284,0.021449555,0.021006882,39104.47,117570.6,19.3,0.0030585
Pocahontas,8662,Iowa,IA,0.0101561,0.225494,0.0909735,0.0426,0.70809,0.0341012,-0.2381036,0.008658508,0.011891018,36325.71,53853.2,15,0.0001154
Polk,374601,Iowa,IA,0.1526456,0.4272913,0.0793604,0.15087,0.49369,0.0286095,0.2356137,0.035101348,0.031129121,42541.35,137432.3,29.7,0.0080888
Pottawattamie,87704,Iowa,IA,0.0558849,0.3704747,0.0840238,0.10553,0.58665,0.0306848,0.0132046,0.030169662,0.028676001,36155.45,113171.7,15,0.0106153
Poweshiek,18815,Iowa,IA,0.04768,0.3064705,0.0983493,0.06895,0.64092,0.0318892,-0.0254325,0.019186819,0.022216317,34845.47,108772.8,18.5,0.0010098
Ringgold,5469,Iowa,IA,0.0039773,0.3365108,0.1426421,0.09692,0.61261,0.0311573,-0.1052029,0.010056683,0.026513074,32030.86,59985,13.4,0
Sac,11529,Iowa,IA,0.0316856,0.3135592,0.0991986,0.07108,0.67681,0.0289972,-0.1833829,0.010582011,0.013617833,35393.24,66650,13.6,0.0021684
Scott,158668,Iowa,IA,0.1175537,0.3800768,0.1049961,0.11132,0.49613,0.0393322,-0.0084613,0.024214082,0.024995588,39109.73,123169.2,24.9,0.0130461
Shelby,13173,Iowa,IA,0.0091722,0.3191654,0.0601463,0.09846,0.6819,0.0263942,-0.1243103,0.015562135,0.019205952,35873.61,98375.4,15.3,0.0040234
Sioux,31589,Iowa,IA,0.0346859,0.358357,0.0643858,0.1733,0.73113,0.0233653,0.0251842,0.012536009,0.013770616,31354.46,112905.1,19.8,0.0038744
Story,79981,Iowa,IA,0.0998815,0.3114301,0.1406157,0.12299,0.55619,0.0206972,0.1058402,0.028381741,0.036646204,31215.6,154361.4,44.5,0.002238
Tama,18103,Iowa,IA,0.1384057,0.2634808,0.1053202,0.04292,0.67336,0.0350546,-0.0732094,0.023145335,0.023752969,34488.71,85578.6,12.9,0.0073468
Taylor,6958,Iowa,IA,0.0743186,0.2525673,0.1210472,0.07227,0.68868,0.0404741,-0.1670059,0.01063524,0.021126761,31248.66,50520.7,12,0.0002874
Union,12309,Iowa,IA,0.015806,0.3754323,0.1140008,0.10777,0.66245,0.036976,-0.1117766,0.019416687,0.018766756,32748,74114.8,14.7,0.0062556
Van Buren,7809,Iowa,IA,0.002019,0.2892359,0.1268045,0.04741,0.6206,0.042928,-0.0947137,0.019592778,0.01754386,31271.95,57452.3,11.8,0.0002561
Wapello,36051,Iowa,IA,0.0478345,0.4067955,0.1322416,0.09145,0.5791,0.0454173,-0.1041227,0.021497323,0.023882833,31603.76,66783.3,14.6,0.0109844
Warren,40671,Iowa,IA,0.0110544,0.2828053,0.0506846,0.08747,0.61064,0.0255928,0.1660932,0.043913354,0.037225542,37652.07,135966,21.2,0.0026779
Washington,20670,Iowa,IA,0.0393188,0.2851404,0.0757418,0.06196,0.65833,0.0275308,0.0262648,0.024044509,0.025544267,36032.81,111438.8,16.4,0.0034349
Wayne,6730,Iowa,IA,0.0072285,0.3067972,0.1398485,0.06828,0.60073,0.0347387,-0.1791682,0.014858841,0.013224369,33688.2,47454.8,12.1,0.002526
Webster,40235,Iowa,IA,0.0779435,0.4066889,0.09987,0.16311,0.61371,0.0360186,-0.1244315,0.013495713,0.018441655,33721.43,87978,16.9,0.0133963
Winnebago,11723,Iowa,IA,0.0108363,0.2364124,0.0838099,0.04976,0.7381,0.0264961,-0.0989239,0.014757315,0.018425318,35823.27,81579.6,16.5,0.004059
Winneshiek,21310,Iowa,IA,0.0444489,0.2848547,0.0797071,0.06553,0.71186,0.0287929,-0.0258731,0.009760676,0.012482403,30866.8,114638,20.5,0.0009855
