county_name,region,county_pop2000,statename,stateabbrv,racial_segregation,inequality,poverty_rate,top_1per_income_share,frac_middleclass,unemp_rate,pop_change_80_2000,migration_inflow,migration_outflow,mean_household_income,median_house_value,percent_college_degree,crime_rate,hs_dropout
Livingston,finger lakes,64328,New York,NY,0.1249564,0.3050573,0.104042,0.06127,0.60488,0.0438767,0.1284426,0.026613605,0.025696431,30370.37,118370.4,19.2,0.0047569,0.04
Madison,central,69441,New York,NY,0.0562585,0.3777384,0.0977986,0.09016,0.57691,0.0454558,0.0658634,0.028787028,0.026799729,34467.96,108639.5,21.6,0.00463,0.02
Monroe,finger lakes,735343,New York,NY,0.293879,0.4178439,0.1115021,0.12261,0.46555,0.0413885,0.0471421,0.016618095,0.023948008,42202.02,131567.1,31.2,0.0091549,0.02
Montgomery,mohawk valley,49708,New York,NY,0.1434816,0.3543511,0.1203918,0.05989,0.56449,0.0502793,-0.0698179,0.028224833,0.027400016,33527.18,90110.8,13.6,0.0086908,0.04
Nassau,suffolk,1334544,New York,NY,0.2776216,0.4307356,0.0522159,0.19644,0.40383,0.0372792,0.0098079,0.029060863,0.037172248,60831.15,322985.9,35.4,0.0044862,0.01
New York,new york,1537195,New York,NY,0.3697166,1.091437,0.1999641,0.53532,0.36022,0.0573663,0.0762523,0.051663582,0.061303218,69992.7,1333001.333,49.4,0.0089252,0.11
Niagara,western,219846,New York,NY,0.2192625,0.3376718,0.1058978,0.07482,0.54857,0.0553102,-0.0330234,0.017862504,0.020532555,36499.13,110105.8,17.4,0.0041211,0.03
Oneida,mohawk valley,235469,New York,NY,0.1991556,0.3908631,0.1304259,0.08969,0.55734,0.0459065,-0.0710036,0.015025332,0.018503497,34328.89,101974.5,18.3,0.0076061,0.02
Onondaga,central,458336,New York,NY,0.2664934,0.4302877,0.1217164,0.13123,0.49154,0.0404757,-0.0120366,0.019354797,0.025354762,40080.21,113838.2,28.5,0.0120152,0.03
Ontario,finger lakes,100224,New York,NY,0.1209687,0.3404609,0.0730837,0.07391,0.5613,0.0399219,0.127265,0.032696759,0.026949633,39658.35,125435.3,24.7,0.0081418,0.02
Orange,hudson valley,341367,New York,NY,0.1438514,0.3721382,0.1053924,0.08718,0.46447,0.0368357,0.3149578,0.040595605,0.038061676,39957.29,192618.5,22.5,0.010124,0.03
Orleans,finger lakes,44171,New York,NY,0.0715805,0.3614266,0.1076919,0.13234,0.62313,0.0517593,0.1474179,0.02259401,0.024246678,29254.31,96775.8,13,0.004709,0.03
Oswego,central,122377,New York,NY,0.0281978,0.3388031,0.1398987,0.05869,0.56927,0.05362,0.0744155,0.020583933,0.023100746,30777.66,98908.6,14.4,0.0042982,0.04
